"Year","Season","Week","Date","Field","TeamOne","TeamTwo","TeamOneScore","TeamTwoScore"
"2013","Fall",1,2013-08-18 12:00:00,"Lower Woodland PF Field 3","Balls Deep","Stranger Danger","19","17"
"2013","Fall",1,2013-08-18 13:30:00,"Lower Woodland PF Field 3","Balls Deep","The Crows","11","8"
"2013","Fall",1,2013-08-18 15:00:00,"Lower Woodland PF Field 3","#Blessed","The Crows","5","14"
"2013","Fall",1,2013-08-18 16:30:00,"Lower Woodland PF Field 3","They Might Be Giants","Chico's Bail Bonds","11","22"
"2013","Fall",1,2013-08-18 18:00:00,"Lower Woodland PF Field 3","The Lemons","Chico's Bail Bonds","9","24"
"2013","Fall",1,2013-08-18 12:00:00,"Lower Woodland PF Field 6","Arbornauts","Fowl Balls","13","18"
"2013","Fall",1,2013-08-18 13:30:00,"Lower Woodland PF Field 6","Too Drunk To Score","Fowl Balls","6","18"
"2013","Fall",1,2013-08-18 15:00:00,"Lower Woodland PF Field 6","That's What She Said!!","Too Drunk To Score","20","26"
"2013","Fall",1,2013-08-18 16:30:00,"Lower Woodland PF Field 6","Afternoon Delight","That's What She Said!!","11","5"
"2013","Fall",1,2013-08-18 18:00:00,"Lower Woodland PF Field 6","Afternoon Delight","Slap My Pitch Up","24","13"
"2013","Fall",2,2013-08-25 12:00:00,"Lower Woodland PF Field 3","They Might Be Giants","The Lemons","10","9"
"2013","Fall",2,2013-08-25 13:30:00,"Lower Woodland PF Field 3","The Lemons","The Crows","15","12"
"2013","Fall",2,2013-08-25 15:00:00,"Lower Woodland PF Field 3","Stranger Danger","The Crows","7","6"
"2013","Fall",2,2013-08-25 16:30:00,"Lower Woodland PF Field 3","Stranger Danger","#Blessed","9","16"
"2013","Fall",2,2013-08-25 18:00:00,"Lower Woodland PF Field 3","#Blessed","Balls Deep","6","7"
"2013","Fall",2,2013-08-25 12:00:00,"Lower Woodland PF Field 6","Arbornauts","Chico's Bail Bonds","21","6"
"2013","Fall",2,2013-08-25 13:30:00,"Lower Woodland PF Field 6","Arbornauts","Afternoon Delight","10","16"
"2013","Fall",2,2013-08-25 15:00:00,"Lower Woodland PF Field 6","Fowl Balls","That's What She Said!!","13","5"
"2013","Fall",2,2013-08-25 16:30:00,"Lower Woodland PF Field 6","Slap My Pitch Up","That's What She Said!!","6","9"
"2013","Fall",2,2013-08-25 18:00:00,"Lower Woodland PF Field 6","Slap My Pitch Up","Too Drunk To Score","15","8"
"2013","Fall",3,2013-09-08 12:00:00,"Lower Woodland PF Field 3","They Might Be Giants","Stranger Danger","27","2"
"2013","Fall",3,2013-09-08 13:30:00,"Lower Woodland PF Field 3","They Might Be Giants","Balls Deep","8","6"
"2013","Fall",3,2013-09-08 15:00:00,"Lower Woodland PF Field 3","Fowl Balls","Afternoon Delight","12","12"
"2013","Fall",3,2013-09-08 16:30:00,"Lower Woodland PF Field 3","Slap My Pitch Up","Fowl Balls","7","8"
"2013","Fall",3,2013-09-08 18:00:00,"Lower Woodland PF Field 3","The Lemons","Slap My Pitch Up","9","19"
"2013","Fall",3,2013-09-08 12:00:00,"Lower Woodland PF Field 6","Afternoon Delight","#Blessed","20","1"
"2013","Fall",3,2013-09-08 13:30:00,"Lower Woodland PF Field 6","The Crows","That's What She Said!!","5","20"
"2013","Fall",3,2013-09-08 15:00:00,"Lower Woodland PF Field 6","Chico's Bail Bonds","Stranger Danger","18","1"
"2013","Fall",3,2013-09-08 16:30:00,"Lower Woodland PF Field 6","Too Drunk To Score","Chico's Bail Bonds","2","8"
"2013","Fall",3,2013-09-08 18:00:00,"Lower Woodland PF Field 6","Too Drunk To Score","Arbornauts","10","10"
"2013","Fall",4,2013-09-15 12:00:00,"Lower Woodland PF Field 3","Too Drunk To Score","Afternoon Delight","1","13"
